UNITID,EFLEVEL,EFTOTAL,EFMEN,EFWOM,EFFT,EFFTMEN,EFFTWOM,EFPT,EFPTMEN,EFPTWOM
100654,10,6614,2671,3943,5660,2282,3378,954,389,565
100663,10,21160,7803,13357,14815,5616,9199,6345,2187,4158
100690,10,636,275,361,261,116,145,375,159,216
100706,10,8743,5178,3565,6275,3825,2450,2468,1353,1115
100724,10,3870,1373,2497,3337,1190,2147,533,183,350
100751,10,39622,16941,22681,33663,14709,18954,5959,2232,3727
100760,10,1910,771,1139,561,250,311,1349,521,828
100812,10,2955,900,2055,1184,318,866,1771,582,1189
100830,10,5189,2114,3075,3233,1306,1927,1956,808,1148
100858,10,33015,16283,16732,27618,13411,14207,5397,2872,2525
100937,10,731,409,322,724,407,317,7,2,5
101028,10,1712,615,1097,536,215,321,1176,400,776
101116,10,319,52,267,228,37,191,91,15,76
101143,10,2248,1095,1153,1027,540,487,1221,555,666
101161,10,6791,2740,4051,2697,1046,1651,4094,1694,2400
101189,10,2933,1284,1649,2160,941,1219,773,343,430
101240,10,4728,1813,2915,2133,904,1229,2595,909,1686
101277,10,39,0,39,39,0,39,,,
101286,10,4010,1325,2685,1212,435,777,2798,890,1908
101295,10,6023,2138,3885,2463,908,1555,3560,1230,2330
101301,10,1935,832,1103,535,254,281,1400,578,822
101365,10,448,69,379,170,35,135,278,34,244
101435,10,869,492,377,852,482,370,17,10,7
101453,10,158,135,23,38,34,4,120,101,19
101462,10,1011,362,649,285,126,159,726,236,490
101471,10,826,728,98,639,560,79,187,168,19
101480,10,9672,3847,5825,6960,2836,4124,2712,1011,1701
101505,10,8839,3229,5610,2087,833,1254,6752,2396,4356
101514,10,8736,3955,4781,3038,1427,1611,5698,2528,3170
101569,10,3153,1095,2058,1111,457,654,2042,638,1404
101587,10,6194,1551,4643,5154,1234,3920,1040,317,723
101602,10,2130,969,1161,753,302,451,1377,667,710
101648,10,308,225,83,308,225,83,,,
101675,10,1151,542,609,1106,521,585,45,21,24
101693,10,1911,748,1163,1170,452,718,741,296,445
101709,10,2942,1112,1830,2087,799,1288,855,313,542
101736,10,4136,1831,2305,936,423,513,3200,1408,1792
101879,10,10059,3566,6493,5523,1915,3608,4536,1651,2885
101897,10,2905,1116,1789,878,354,524,2027,762,1265
101912,10,1319,548,771,1219,504,715,100,44,56
101994,10,576,223,353,229,113,116,347,110,237
102030,10,3568,1315,2253,1141,464,677,2427,851,1576
102049,10,5791,1946,3845,5554,1881,3673,237,65,172
102058,10,60,29,31,16,11,5,44,18,26
102067,10,4536,1823,2713,1706,820,886,2830,1003,1827
102076,10,2767,1037,1730,996,371,625,1771,666,1105
102094,10,13768,4392,9376,11416,3687,7729,2352,705,1647
102234,10,977,450,527,842,380,462,135,70,65
102270,10,779,346,433,660,291,369,119,55,64
102298,10,837,459,378,786,418,368,51,41,10
102313,10,1907,701,1206,822,357,465,1085,344,741
102368,10,13923,5154,8769,8208,2947,5261,5715,2207,3508
102377,10,2846,963,1883,2687,914,1773,159,49,110
102395,10,272,210,62,73,54,19,199,156,43
102429,10,3946,1619,2327,1072,460,612,2874,1159,1715
102553,10,10796,4235,6561,4206,1830,2376,6590,2405,4185
102580,10,65,31,34,18,9,9,47,22,25
102614,10,6640,2529,4111,2872,1265,1607,3768,1264,2504
102632,10,1918,640,1278,514,190,324,1404,450,954
102669,10,578,147,431,357,94,263,221,53,168
102711,10,452,356,96,148,111,37,304,245,59
102845,10,2277,659,1618,2277,659,1618,,,
103501,10,255,33,222,255,33,222,,,
103741,10,213,8,205,149,7,142,64,1,63
103893,10,1088,304,784,1088,304,784,,,
103909,10,492,134,358,492,134,358,,,
103927,10,437,156,281,437,156,281,,,
103954,10,49,2,47,49,2,47,,,
103963,10,513,438,75,513,438,75,,,
104090,10,751,86,665,751,86,665,,,
104151,10,79593,41702,37891,70971,37024,33947,8622,4678,3944
104160,10,8038,3238,4800,2147,918,1229,5891,2320,3571
104179,10,53001,23753,29248,41526,17889,23637,11475,5864,5611
104346,10,5131,1908,3223,1251,540,711,3880,1368,2512
104391,10,88,1,87,88,1,87,,,
104425,10,3782,1745,2037,1347,567,780,2435,1178,1257
104443,10,98,6,92,60,3,57,38,3,35
104568,10,388,11,377,193,6,187,195,5,190
104577,10,5076,2126,2950,1482,709,773,3594,1417,2177
104586,10,3286,2361,925,3117,2237,880,169,124,45
104665,10,6,3,3,6,3,3,,,
104708,10,13480,5888,7592,3738,1847,1891,9742,4041,5701
104717,10,107563,29454,78109,25180,10126,15054,82383,19328,63055
105145,10,5123,1713,3410,1057,385,672,4066,1328,2738
105154,10,16624,7633,8991,4377,2281,2096,12247,5352,6895
105206,10,3693,1156,2537,757,310,447,2936,846,2090
105215,10,567,525,42,567,525,42,,,
105297,10,1836,525,1311,830,246,584,1006,279,727
105330,10,28186,10283,17903,23055,8611,14444,5131,1672,3459
105349,10,2825,1059,1766,503,231,272,2322,828,1494
105428,10,10384,3782,6602,2222,891,1331,8162,2891,5271
105525,10,15819,6894,8925,3612,1786,1826,12207,5108,7099
105534,10,2744,578,2166,2744,578,2166,,,
105543,10,737,138,599,737,138,599,,,
105589,10,909,215,694,465,123,342,444,92,352
105659,10,1296,1165,131,1296,1165,131,,,
105668,10,18631,7524,11107,2030,801,1229,16601,6723,9878
105677,10,15,14,1,15,14,1,,,
105747,10,6875,3010,3865,1483,716,767,5392,2294,3098
105792,10,4157,1682,2475,1109,485,624,3048,1197,1851
105899,10,1233,702,531,1078,642,436,155,60,95
106041,10,1791,1678,113,1791,1678,113,,,
106148,10,7200,3091,4109,1606,820,786,5594,2271,3323
106245,10,8158,3169,4989,4122,1733,2389,4036,1436,2600
106263,10,3275,898,2377,2282,707,1575,993,191,802
106306,10,373,275,98,326,244,82,47,31,16
106315,10,111,1,110,111,1,110,,,
106324,10,56,0,56,36,0,36,20,0,20
106342,10,584,331,253,563,322,241,21,9,12
106351,10,111,64,47,111,64,47,,,
106397,10,32140,14287,17853,26706,11799,14907,5434,2488,2946
106412,10,2100,948,1152,1785,809,976,315,139,176
106449,10,3010,1200,1810,1383,542,841,1627,658,969
106458,10,14032,4917,9115,5870,2390,3480,8162,2527,5635
106467,10,9487,3997,5490,5094,2260,2834,4393,1737,2656
106485,10,2739,1077,1662,1717,733,984,1022,344,678
106494,10,47,1,46,47,1,46,,,
106546,10,512,55,457,453,49,404,59,6,53
106625,10,1544,586,958,601,240,361,943,346,597
106704,10,9790,3529,6261,7263,2720,4543,2527,809,1718
106713,10,550,309,241,449,257,192,101,52,49
106795,10,1387,500,887,455,164,291,932,336,596
106810,10,225,102,123,161,78,83,64,24,40
106883,10,1273,435,838,352,109,243,921,326,595
106908,10,411,24,387,407,24,383,4,0,4
106980,10,2308,940,1368,1213,504,709,1095,436,659
106999,10,1118,395,723,444,138,306,674,257,417
107044,10,4608,1990,2618,3662,1581,2081,946,409,537
107071,10,2136,868,1268,1411,643,768,725,225,500
107080,10,1107,555,552,1096,546,550,11,9,2
107099,10,92,4,88,92,4,88,,,
107123,10,80,14,66,80,14,66,,,
107141,10,2341,927,1414,1430,587,843,911,340,571
107220,10,244,4,240,244,4,240,,,
107293,10,81,2,79,81,2,79,,,
107318,10,1021,457,564,155,63,92,866,394,472
107327,10,1451,510,941,387,127,260,1064,383,681
107442,10,58,37,21,58,37,21,,,
107460,10,1930,811,1119,837,353,484,1093,458,635
107488,10,217,158,59,215,156,59,2,2,0
107512,10,1815,778,1037,1637,699,938,178,79,99
107521,10,2028,1064,964,436,157,279,1592,907,685
107549,10,1013,345,668,423,129,294,590,216,374
107558,10,763,339,424,748,329,419,15,10,5
107585,10,2225,909,1316,1040,410,630,1185,499,686
107600,10,866,414,452,687,292,395,179,122,57
107619,10,1356,535,821,483,156,327,873,379,494
107637,10,810,308,502,86,48,38,724,260,464
107655,10,34,0,34,34,0,34,,,
107664,10,4175,1400,2775,2168,802,1366,2007,598,1409
107725,10,1288,460,828,400,145,255,888,315,573
107743,10,719,279,440,403,170,233,316,109,207
107789,10,107,5,102,107,5,102,,,
107831,10,87,0,87,87,0,87,,,
107840,10,290,129,161,252,113,139,38,16,22
107877,10,514,254,260,484,242,242,30,12,18
107974,10,1190,392,798,479,172,307,711,220,491
107983,10,5127,2189,2938,3247,1425,1822,1880,764,1116
107992,10,939,362,577,464,177,287,475,185,290
108065,10,12,1,11,9,1,8,3,0,3
108092,10,5506,2239,3267,3404,1326,2078,2102,913,1189
108232,10,6320,2505,3815,3219,1422,1797,3101,1083,2018
108269,10,122,36,86,92,33,59,30,3,27
108667,10,5833,2450,3383,674,350,324,5159,2100,3059
108807,10,11104,5179,5925,3089,1481,1608,8015,3698,4317
108852,10,169,71,98,169,71,98,,,
108861,10,126,64,62,20,8,12,106,56,50
108870,10,389,164,225,389,164,225,,,
108977,10,250,53,197,113,27,86,137,26,111
109040,10,2066,479,1587,2066,479,1587,,,
109208,10,29908,15556,14352,4936,2357,2579,24972,13199,11773
109350,10,12937,5630,7307,3909,1755,2154,9028,3875,5153
109651,10,2382,981,1401,2105,842,1263,277,139,138
109721,10,159,50,109,159,50,109,,,
109730,10,77,38,39,77,38,39,,,
109785,10,6487,1898,4589,4346,1320,3026,2141,578,1563
109819,10,30410,13550,16860,7565,3294,4271,22845,10256,12589
109907,10,3153,1123,2030,1146,390,756,2007,733,1274
109934,10,379,56,323,379,56,323,,,
110060,10,271,182,89,232,156,76,39,26,13
110097,10,5296,2421,2875,3905,1658,2247,1391,763,628
110194,10,284,281,3,284,281,3,,,
