,UNITID,EFLEVEL,EFTOTAL
0,100654,10,6614
1,100663,10,21160
2,100690,10,636
3,100706,10,8743
4,100724,10,3870
5,100751,10,39622
6,100760,10,1910
7,100812,10,2955
8,100830,10,5189
9,100858,10,33015
10,100937,10,731
11,101028,10,1712
12,101116,10,319
13,101143,10,2248
14,101161,10,6791
15,101189,10,2933
16,101240,10,4728
17,101277,10,39
18,101286,10,4010
19,101295,10,6023
20,101301,10,1935
21,101365,10,448
22,101435,10,869
23,101453,10,158
24,101462,10,1011
25,101471,10,826
26,101480,10,9672
27,101505,10,8839
28,101514,10,8736
29,101569,10,3153
30,101587,10,6194
31,101602,10,2130
32,101648,10,308
33,101675,10,1151
34,101693,10,1911
35,101709,10,2942
36,101736,10,4136
37,101879,10,10059
38,101897,10,2905
39,101912,10,1319
40,101994,10,576
41,102030,10,3568
42,102049,10,5791
43,102058,10,60
44,102067,10,4536
45,102076,10,2767
46,102094,10,13768
47,102234,10,977
48,102270,10,779
49,102298,10,837
50,102313,10,1907
51,102368,10,13923
52,102377,10,2846
53,102395,10,272
54,102429,10,3946
55,102553,10,10796
56,102580,10,65
57,102614,10,6640
58,102632,10,1918
59,102669,10,578
60,102711,10,452
61,102845,10,2277
62,103501,10,255
63,103741,10,213
64,103893,10,1088
65,103909,10,492
66,103927,10,437
67,103954,10,49
68,103963,10,513
69,104090,10,751
70,104151,10,79593
71,104160,10,8038
72,104179,10,53001
73,104346,10,5131
74,104391,10,88
75,104425,10,3782
76,104443,10,98
77,104568,10,388
78,104577,10,5076
79,104586,10,3286
80,104665,10,6
81,104708,10,13480
82,104717,10,107563
83,105145,10,5123
84,105154,10,16624
85,105206,10,3693
86,105215,10,567
87,105297,10,1836
88,105330,10,28186
89,105349,10,2825
90,105428,10,10384
91,105525,10,15819
92,105534,10,2744
93,105543,10,737
94,105589,10,909
95,105659,10,1296
96,105668,10,18631
97,105677,10,15
98,105747,10,6875
99,105792,10,4157
100,105899,10,1233
101,106041,10,1791
102,106148,10,7200
103,106245,10,8158
104,106263,10,3275
105,106306,10,373
106,106315,10,111
107,106324,10,56
108,106342,10,584
109,106351,10,111
110,106397,10,32140
111,106412,10,2100
112,106449,10,3010
113,106458,10,14032
114,106467,10,9487
115,106485,10,2739
116,106494,10,47
117,106546,10,512
118,106625,10,1544
119,106704,10,9790
120,106713,10,550
121,106795,10,1387
122,106810,10,225
123,106883,10,1273
124,106908,10,411
125,106980,10,2308
126,106999,10,1118
127,107044,10,4608
128,107071,10,2136
129,107080,10,1107
130,107099,10,92
131,107123,10,80
132,107141,10,2341
133,107220,10,244
134,107293,10,81
135,107318,10,1021
136,107327,10,1451
137,107442,10,58
138,107460,10,1930
139,107488,10,217
