,SUMLEV,COUNTY,NAME,POPESTIMATE2024
0,40,0,California,39431263
1,162,0,Adelanto city,37941
2,162,0,Agoura Hills city,19429
3,162,0,Alameda city,78795
4,162,0,Albany city,19439
5,162,0,Alhambra city,80279
6,162,0,Aliso Viejo city,50457
7,162,0,Alturas city,2652
8,162,0,Amador City city,205
9,162,0,American Canyon city,21742
10,162,0,Anaheim city,344561
11,162,0,Anderson city,11171
12,162,0,Angels city,3728
13,162,0,Antioch city,118453
14,162,0,Apple Valley town,75029
15,162,0,Arcadia city,54472
16,162,0,Arcata city,18748
17,162,0,Arroyo Grande city,18249
18,162,0,Artesia city,15662
19,162,0,Arvin city,19661
20,162,0,Atascadero city,29743
21,162,0,Atherton town,7022
22,162,0,Atwater city,32248
23,162,0,Auburn city,13780
24,162,0,Avalon city,3267
25,162,0,Avenal city,14108
26,162,0,Azusa city,48383
27,162,0,Bakersfield city,417468
28,162,0,Baldwin Park city,69247
29,162,0,Banning city,31929
30,162,0,Barstow city,24897
31,162,0,Beaumont city,59502
32,162,0,Bell city,31930
33,162,0,Bellflower city,75716
34,162,0,Bell Gardens city,37565
35,162,0,Belmont city,27132
36,162,0,Belvedere city,2080
37,162,0,Benicia city,26477
38,162,0,Berkeley city,121749
39,162,0,Beverly Hills city,31027
40,162,0,Big Bear Lake city,5044
41,162,0,Biggs city,1941
42,162,0,Bishop city,3746
43,162,0,Blue Lake city,1159
44,162,0,Blythe city,17320
45,162,0,Bradbury city,883
46,162,0,Brawley city,28188
47,162,0,Brea city,47844
48,162,0,Brentwood city,66286
49,162,0,Brisbane city,4667
50,162,0,Buellton city,5023
51,162,0,Buena Park city,82611
52,162,0,Burbank city,103533
53,162,0,Burlingame city,30885
54,162,0,Calabasas city,22256
55,162,0,Calexico city,38744
56,162,0,California City city,13174
57,162,0,Calimesa city,11150
58,162,0,Calipatria city,6522
59,162,0,Calistoga city,5022
60,162,0,Camarillo city,69881
61,162,0,Campbell city,42895
62,162,0,Canyon Lake city,11161
63,162,0,Capitola city,9503
64,162,0,Carlsbad city,113575
65,162,0,Carmel-by-the-Sea city,3124
66,162,0,Carpinteria city,12876
67,162,0,Carson city,91358
68,162,0,Cathedral City city,52517
69,162,0,Ceres city,49253
70,162,0,Cerritos city,46851
71,162,0,Chico city,102911
72,162,0,Chino city,94010
73,162,0,Chino Hills city,77418
74,162,0,Chowchilla city,19191
75,162,0,Chula Vista city,278546
76,162,0,Citrus Heights city,86909
77,162,0,Claremont city,36139
78,162,0,Clayton city,10933
79,162,0,Clearlake city,16636
80,162,0,Cloverdale city,8784
81,162,0,Clovis city,127993
82,162,0,Coachella city,45165
83,162,0,Coalinga city,16722
84,162,0,Colfax city,2058
85,162,0,Colma town,1428
86,162,0,Colton city,53528
87,162,0,Colusa city,6589
88,162,0,Commerce city,11882
89,162,0,Compton city,91129
90,162,0,Concord city,124016
91,162,0,Corcoran city,22627
92,162,0,Corning city,8131
93,162,0,Corona city,161540
94,162,0,Coronado city,18031
95,162,0,Corte Madera town,10006
96,162,0,Costa Mesa city,109131
97,162,0,Cotati city,7403
98,162,0,Covina city,49245
99,162,0,Crescent City city,6209
100,162,0,Cudahy city,21694
101,162,0,Culver City city,39883
102,162,0,Cupertino city,58710
103,162,0,Cypress city,49286
104,162,0,Daly City city,101418
105,162,0,Dana Point city,32585
106,162,0,Danville town,43410
107,162,0,Davis city,67125
108,162,0,Delano city,53198
109,162,0,Del Mar city,3902
110,162,0,Del Rey Oaks city,1553
111,162,0,Desert Hot Springs city,33917
112,162,0,Diamond Bar city,52292
113,162,0,Dinuba city,25833
114,162,0,Dixon city,20296
115,162,0,Dorris city,817
116,162,0,Dos Palos city,5759
117,162,0,Downey city,109368
118,162,0,Duarte city,23493
119,162,0,Dublin city,70544
120,162,0,Dunsmuir city,1618
121,162,0,East Palo Alto city,29296
122,162,0,Eastvale city,70751
123,162,0,El Cajon city,103291
124,162,0,El Centro city,44230
125,162,0,El Cerrito city,26409
126,162,0,Elk Grove city,182797
127,162,0,El Monte city,104639
128,162,0,El Paso de Robles (Paso Robles) city,31568
129,162,0,El Segundo city,16544
130,162,0,Emeryville city,13912
131,162,0,Encinitas city,61137
132,162,0,Escalon city,7453
133,162,0,Escondido city,148847
134,162,0,Etna city,643
135,162,0,Eureka city,25412
136,162,0,Exeter city,10186
137,162,0,Fairfax town,7476
138,162,0,Fairfield city,122646
139,162,0,Farmersville city,10501
140,162,0,Ferndale city,1361
141,162,0,Fillmore city,17216
142,162,0,Firebaugh city,8424
143,162,0,Folsom city,88091
144,162,0,Fontana city,218455
145,162,0,Fort Bragg city,7117
146,162,0,Fort Jones city,669
147,162,0,Fortuna city,12114
148,162,0,Foster City city,32657
149,162,0,Fountain Valley city,56036
150,162,0,Fowler city,7470
151,162,0,Fremont city,228192
152,162,0,Fresno city,550105
153,162,0,Fullerton city,140054
154,162,0,Galt city,26589
155,162,0,Gardena city,58921
156,162,0,Garden Grove city,172361
157,162,0,Gilroy city,60390
